Titulo,Votos,Rating,Fechas,Year,Uploader,Tamanio,vistas
A Way Out,36,4.5,23/03/18,2018,ElAmigos,5 GB,27552
Absolver,11,3.64,29/08/17,2017,ElAmigos,52 GB,1558
Accel World VS Sword Art Online Deluxe Edition,12,3.83,12/09/17,2017,ElAmigos,05 GB,14416
Ace Combat 7 Skies Unknown Deluxe Edition,45,4.05,31/01/19,2019,ElAmigos,6 GB,53288
Ace Combat Assault Horizon Enhanced Edition,9,4.11,24/01/13,2013,ElAmigos,7 GB,10842
Age of Mythology Extended Edition,30,3.6,08/05/14,2019,ElAmigos,60 GB,52527
Agents of Mayhem,10,3.3,15/08/17,2017,ElAmigos,1 GB,9927
Air Conflicts Collection,7,3,21/09/12,2012,ElAmigos,63 GB,6585
Alice Madness Returns Complete,27,4.48,14/06/11,2011,ElAmigos,46 GB,15879
Alien Isolation Complete Edition,33,4.36,06/10/14,2014,ElAmigos,6 GB,18231
Amberskull,4,3.5,12/04/18,2018,PLAZA,2 GB,6912
American Fugitive,177,3.82,21/05/19,2019,ElAmigos,2 GB,229153
Ancestors The Humankind Odyssey,39,3.97,27/08/19,2019,ElAmigos,83 GB,79304
Anima Gate of Memories The Nameless Chronicles,6,4.17,20/06/18,2018,CODEX,87 GB,12149
Apsulov End of Gods Deluxe Edition,23,4.3,13/08/19,2019,ElAmigos,94 GB,66733
Ashen,25,4.08,07/12/18,2018,ElAmigos,38 GB,33827
Assassins Creed Brotherhood Complete Edition,28,4.18,22/03/11,2011,ElAmigos,79 GB,16000
Assassins Creed Chronicles Trilogy,8,3.88,21/04/15,2015,ElAmigos,25 GB,3546
Assassins Creed Directors Cut,25,4.32,09/04/08,2008,ElAmigos,62 GB,17949
Assassins Creed II Deluxe Edition,30,4.43,09/03/10,2010,ElAmigos,89 GB,20883
Assassins Creed III Complete Edition,20,4.45,20/11/12,2012,ElAmigos,75 GB,5192
Assassins Creed III Remastered,36,3.17,27/03/19,2019,ElAmigos,1 GB,42558
Assassins Creed IV Black Flag Jackdaw Edition,25,4.36,19/11/13,2013,ElAmigos,27 GB,22608
Assassins Creed Liberation HD,12,3.58,15/01/14,2014,ElAmigos,97 GB,12648
Assassins Creed Odyssey Gold Edition,96,4.3,05/10/18,2018,ElAmigos,7 GB,50173
Assassins Creed Origins,16,4.44,27/10/17,2017,CPY,55 GB,18836
Assassins Creed Origins Gold Edition + CrackFix,107,4.41,27/10/17,2017,ElAmigos,6 GB,96446
Assassins Creed Revelations Gold Edition,19,4.42,29/11/11,2011,ElAmigos,75 GB,13674
Assassins Creed Rogue,22,4.45,10/03/15,2015,ElAmigos,88 GB,6083
Assassins Creed Syndicate Gold Edition,23,4.26,19/11/15,2015,ElAmigos,95 GB,26919
Assassins Creed Unity Gold Edition,31,4.06,11/11/14,2014,ElAmigos,71 GB,25588
Asterix & Obelix XXL 2 Remastered,12,3.33,29/11/18,2018,ElAmigos,988 MB,12461
ATTACK OF THE KILLER FURRIES,9,3.89,18/05/18,2018,ElAmigos,35 GB,3402
Attack on Titan 2 Final Battle,90,3.86,20/03/18,2018,ElAmigos,3 GB,8207
Batman Arkham Asylum Game of the Year Edition,29,4.1,26/03/10,2016,ElAmigos,50 GB,45244
Batman Arkham City Game of the Year Edition,7,3.14,07/09/12,2016,ElAmigos,7 GB,10396
Batman Arkham Knight Complete Edition,16,3,28/07/15,2019,ElAmigos,6 GB,45104
Batman Arkham Origins Blackgate Deluxe Edition,17,3.82,01/04/14,2010,ElAmigos,77 GB,26408
Batman Arkham Origins Complete Edition,28,4.14,25/10/13,2017,ElAmigos,3 GB,5450
Batman The Enemy Within,16,4.13,08/08/17,2017,CODEX,7 GB,13757
Batman The Telltale Series Complete Season,13,3.77,02/08/16,2014,ElAmigos,6 GB,27743
Battlefield 1 Ultimate Edition,29,4.41,21/10/16,2016,ElAmigos,6 GB,30469
Battlefield 4,37,4.43,31/10/13,2013,ElAmigos,4 GB,8153
BattleTech Deluxe Edition,13,3.23,24/04/18,2018,ElAmigos,91 GB,22853
Battlezone Combat Commander,3,4,01/03/18,2018,CODEX,3.69 GB,5898
Bayonetta 2,20,3.85,24/10/14,2014,ElAmigos,7 GB,24577
Bayonetta Digital Deluxe Edition,20,4.25,11/04/17,2017,ElAmigos,73 GB,29202
Beast Quest,9,3.89,13/03/18,2018,CODEX,3.29 GB,11998
Ben 10,14,3.29,15/11/17,2017,CODEX,41 GB,10150
Beyond Good and Evil,22,4.36,11/11/03,2003,ElAmigos,47 GB,22626
Bike Rush,7,3.57,15/01/18,2018,HI2U,3.11 GB,5639
BioShock Remastered Collection,8,4,15/09/18,2016,ElAmigos,3 GB,23979
Black Clover Quartet Knights Deluxe Edition,15,3.67,14/09/18,2018,ElAmigos,1 GB,12329
Bloodstained Ritual of the Night,21,4.19,18/06/19,2018,ElAmigos,19 GB,28812
Bomber Crew,15,3.67,19/10/17,2017,ElAmigos,603 MB,7686
Borderlands 3,17,4.12,13/09/19,2019,ElAmigos,2 GB,42901
Borderlands The Handsome Collection Remastered + Update 1,25,4.4,03/04/19,2016,ElAmigos,38 GB,36123
Brawlout,10,4,21/08/18,2018,CODEX,28 GB,7431
Bullet Witch,19,3.26,25/04/18,2018,CODEX,57 GB,9799
Bulletstorm Full Clip Edition,10,4.2,07/04/17,2017,ElAmigos,97 GB,8260
Call of Duty 4 Modern Warfare,61,4.48,12/11/07,2007,ElAmigos,39 GB,47357
Call of Duty Black Ops III Digital Deluxe Edition,42,3.88,06/11/15,2015,ElAmigos,114 GB,46042
Call of Duty Ghosts,32,4.16,25/03/14,2014,ElAmigos,9 GB,69691
Call of Duty World at War II Digital Deluxe,46,4.15,03/11/17,2017,ElAmigos,4 GB,56119
Call to Arms Basic Edition,14,3.71,27/04/18,2018,ElAmigos,3 GB,14504
Castlevania Lords of Shadow 2,18,4.44,25/02/14,2014,ElAmigos,44 GB,28089
Castlevania Lords of Shadow Mirror of Fate HD,9,4.33,27/03/14,2014,ElAmigos,681 MB,16257
Castlevania Lords of Shadow Ultimate Edition,23,4.26,27/08/13,2013,ElAmigos,3 GB,24987
City of Brass,15,3.8,04/05/18,2018,ElAmigos,84 GB,5530
Close to the Sun,14,3.5,03/05/19,2017,ElAmigos,11 GB,32712
Code Vein Deluxe Edition,20,3.8,26/08/19,2019,ElAmigos,4 GB,39672
Command and Conquer 3 Tiberium Wars Complete Collection,7,4,28/03/07,2007,ElAmigos,6 GB,9137
Command and Conquer Generals Deluxe Edition,11,4.45,28/02/03,2003,ElAmigos,95 GB,9754
Command and Conquer Red Alert 3 Complete Collection,7,4.43,28/10/08,2008,ElAmigos,5 GB,8367
Company of Heroes 2 Master Collection,11,4.45,25/06/13,2013,ElAmigos,5 GB,28038
Conan Exiles Barbarian Edition,33,3.82,08/05/18,2018,ElAmigos,6 GB,18480
Control,76,3.86,27/08/19,2019,DARKSIDERS,8 GB,79840
Crackdown 3,47,2.96,15/02/19,2019,ElAmigos,1 GB,43163
Crying is not Enough,27,3.15,20/06/18,2018,CODEX,54 GB,11831
Crysis 2 Maximum Edition,20,4,24/03/11,2011,ElAmigos,10.09 GB,19479
Crysis 3 Digital Deluxe Edition,40,4.13,21/02/13,2013,ElAmigos,14.9 GB,36937
Crysis Collection,35,4.49,05/05/09,2009,ElAmigos,9.16 GB,36695
Cuphead Deluxe Edition,26,4.27,29/09/17,2018,ElAmigos,19 GB,20364
Daemon X Machina,10,3.7,13/02/20,2019,ElAmigos,11.3 GB,17023
Dark Souls II Scholar of the First Sin,26,4.27,01/04/15,2015,ElAmigos,24 GB,30984
Dark Souls III Deluxe Edition,47,4.32,11/04/16,2016,ElAmigos,5 GB,10743
Dark Souls Prepare to Die Edition,28,4.21,24/08/12,2012,ElAmigos,65 GB,14914
Dark Souls Remastered + Update v1.03,47,4.45,24/05/18,2018,ElAmigos,33 GB,37055
Darksiders Genesis,45,3.93,05/12/19,2019,ElAmigos,27 GB,47500
Darksiders II Deathinitive Edition,16,4.25,05/11/15,2015,GOG,4 GB,15649
Darksiders III Deluxe Edition,39,4.05,27/11/18,2018,ElAmigos,9 GB,55343
Darksiders Warmastered Edition,12,4.42,29/11/16,2016,GOG,23 GB,13345
Darkwood,8,4,17/08/17,2017,GOG,12 GB,18063
Dead Cells,27,4.3,06/08/18,2018,ElAmigos,672 MB,22452
Dead or Alive 5 Last Round,28,3.79,30/03/15,2015,ElAmigos,11 GB,18893
Dead or Alive 6 Deluxe Edition,38,3.97,01/03/19,2019,ElAmigos,4 GB,36395
Dead Rising 3 Apocalypse Edition,9,3.89,05/09/14,2014,ElAmigos,20 GB,15895
Dead Rising 4 Deluxe Edition,21,3.48,14/03/17,2017,ElAmigos,1 GB,22751
Dead Space,51,4.49,20/10/08,2008,ElAmigos,4.74 GB,34278
Dead Space 2,44,4.48,27/01/11,2011,ElAmigos,6.97 GB,20198
Dead Space 3,21,4.19,08/02/13,2013,ElAmigos,7.16 GB,21074
Deadpool,50,4.18,24/06/13,2013,ElAmigos,12 GB,24408
