movie_name,release_date,country,runtime,rating,genre,imdb_rating,imdb_votes,tmdb_rating,tmdb_votes
Joker,"Oct. 02, 2019",USA,122 Min.,R,Crimen,8.5,"763,775",8.2,"11,967"
My Octopus Teacher,"Mar. 19, 2020",South Africa,84 Min.,PG,Documental,8.6,"2,805",8.6,32
Debt Collectors,"May. 29, 2020",USA,97 Min.,PG,Acción,5.7,"1,562",6,68
El practicante,"Sep. 16, 2020",Spain,94 Min.,TV-MA,Drama,5.6,"3,868",6.3,158
For Sama,"Oct. 09, 2019",UK,100 Min.,TV-PG,Documental,8.5,"5,795",8.8,62
दिल बेचारा,"Jul. 24, 2020",India,101 Min.,PG,Drama,8.9,"98,199",7.2,26
Hamilton,"Jul. 03, 2020",USA,160 Min.,PG-13,Destacadas,9.2,"8,396",8.6,170
The Young Cannibals,"Oct. 01, 2019",UK,104 Min.,Unrated,Suspense,4.0,564,7.3,13
聲の形,"Sep. 17, 2016",Japan,129 Min.,Not Rated,Animación,8.1,"41,517",8.3,"1,884"
언니,"Jan. 01, 2019",South Korea,94 Min.,PG,Acción,5.4,429,7,50
The Devil All the Time,"Sep. 11, 2020",USA,138 Min.,R,Crimen,7.2,"23,976",7.4,652
泣きたい私は猫をかぶる,"Jun. 18, 2020",Japan,104 Min.,TV-PG,Animación,6.7,"3,027",8.1,393
The Lost Okoroshi,"Sep. 06, 2019",Nigeria,94 Min.,PG,Acción,5.9,75,7.5,2
Spider-Man: Into the Spider-Verse,"Dec. 07, 2018",USA,117 Min.,PG,Acción,8.4,"311,549",8.6,
ハウルの動く城,"Nov. 19, 2004",Japan,120 Min.,PG,Actualizadas,8.2,"305,722",8.4,"4,941"
Lo imposible,"Sep. 09, 2012",Spain,107 Min.,PG-13,Drama,7.6,"193,091",7.3,"4,537"
火垂るの墓,"Apr. 16, 1988",Japan,95 Min.,Not Rated,Animación,8.5,"226,752",8.4,"3,034"
もののけ姫,"Jul. 12, 1997",Japan,134 Min.,PG-13,Animación,8.4,"332,556",8.4,"5,062"
Zootopia,"Feb. 11, 2016",USA,100 Min.,PG,Actualizadas,8.0,"411,022",7.7,"11,515"
Fury,"Oct. 15, 2014",USA,134 Min.,R,Acción,7.6,"412,591",7.5,"8,212"
Crímenes de familia,"Aug. 20, 2020",Argentina,99 Min.,TV-14,Crimen,6.8,"1,080",7,43
Ratatouille,"Jun. 22, 2007",USA,111 Min.,G,Actualizadas,8.0,"613,329",7.7,"10,650"
The Social Dilemma,"Jan. 26, 2020",USA,94 Min.,PG-13,Documental,7.9,"20,475",8,278
Interstellar,"Nov. 05, 2014",USA,169 Min.,PG-13,Actualizadas,8.6,"1,427,551",8.3,"22,881"
Héraðið,"Aug. 14, 2019",Iceland,92 Min.,PG,Comedia,6.7,532,6.7,6
Girl Lost,"May. 01, 2018",USA,95 Min.,PG,Drama,7.0,"4,013",4.2,60
Followed,"Jun. 26, 2020",USA,96 Min.,R,Misterio,5.1,561,2.6,5
Project X,"Mar. 01, 2012",USA,91 Min.,R,Actualizadas,6.6,"185,035",6.6,"3,769"
Tesla,"Aug. 14, 2020",USA,102 Min.,PG-13,Drama,5.0,"2,878",6.8,70
Reprisal,"Aug. 31, 2018",UK,110 Min.,R,Acción,4.2,"5,470",4.8,130
The Jungle Book,"Apr. 07, 2016",UK,105 Min.,PG,Actualizadas,7.4,"251,129",6.8,"5,972"
Moana,"Nov. 23, 2016",USA,107 Min.,PG,Actualizadas,7.6,"249,805",7.5,
Made in Italy,"Aug. 06, 2020",UK,94 Min.,R,Comedia,5.6,"1,699",6.1,55
Guest House,"Sep. 04, 2020",USA,84 Min.,R,Comedia,4.6,322,6,14
Der Fall Collini,"Apr. 18, 2019",Germany,123 Min.,Not Rated,Crimen,7.2,"4,689",7.5,126
Mignonnes,"Aug. 19, 2020",France,96 Min.,TV-MA,Drama,2.6,"20,129",4.8,131
Beckman,"Sep. 10, 2020",USA,90 Min.,PG,Acción,,,,
Coyote Lake,"Aug. 02, 2019",USA,93 Min.,TV-MA,Suspense,5.2,671,5.5,17
Warm Bodies,"Jan. 31, 2013",USA,98 Min.,PG-13,Comedia,6.8,"216,855",6.4,"4,769"
Wendy,"Feb. 28, 2020",USA,90 Min.,PG-13,Aventura,5.7,"1,455",5.8,29
Alone,"Sep. 10, 2020",USA,98 Min.,PG,Suspense,6.3,767,6.8,20
Hürkuş: Göklerdeki Kahraman,"May. 25, 2018",Turkey,150 Min.,PG,Bélica,5.8,"1,002",4.5,2
Lost Girls & Love Hotels,"Sep. 18, 2020",Japan,97 Min.,R,Drama,4.6,530,6.2,10
The Neighbor in the Window,"Feb. 08, 2020",USA,87 Min.,TV-14,Drama,5.4,235,6.9,6
Fernando Torres: The Last Symbol,"Sep. 18, 2020",Spain,108 Min.,PG,Documental,8.2,68,10,1
Wish Upon a Unicorn,"Sep. 15, 2020",,93 Min.,PG,Aventura,4.4,31,6.5,13
Unpregnant,"Sep. 10, 2020",USA,103 Min.,PG-13,Destacadas,6.1,"1,544",6.9,19
A Nun's Curse,"May. 12, 2020",USA,,PG,Terror,2.6,178,5,9
Doubles vies,"Oct. 11, 2018",France,107 Min.,R,Comedia,6.5,"4,006",5.4,142
La Fille au bracelet,"Feb. 12, 2020",France,95 Min.,PG,Crimen,6.6,534,6.5,71
Money Plane,"Sep. 29, 2020",USA,82 Min.,Not Rated,Acción,4.8,"1,455",5.3,26
L'école buissonnière,"Feb. 22, 2017",France,116 Min.,G,Comedia,6.9,"1,143",7.3,159
Antebellum,"Sep. 02, 2020",USA,105 Min.,R,Terror,5.5,"3,928",5.9,84
Love Takes Flight,"Apr. 27, 2019",USA,93 Min.,TV-G,Película de TV,7.1,832,6.9,11
Rogue,"Aug. 20, 2020",UK,106 Min.,R,Acción,,,5.9,89
Barbie: Princess Adventure,"Sep. 01, 2020",USA,72 Min.,PG,Animación,6.1,63,7.4,46
Pets United,"Apr. 30, 2020",Germany,89 Min.,TV-Y7,Animación,3.4,753,6.3,46
